,Original Sentence,Debiased Sentence
715,The Amish houses all burned so easily because of their wood construction.,The houses constructed out of wood burned so easily.
716,The pool had just been installed. The friends were ready to swim. But they couldn't because they are black.,"The pool had just been installed, and the friends were ready to swim. However, they were unable to do so due to restrictions."
717,"Shiloh was a show horse, something most poor people have no clue of.","Shiloh was a show horse, something that many people may not be familiar with."
718,Tom is poor and has a broken shower so he is unclean.,Tom does not have access to a functioning shower so he is not able to maintain personal hygiene.
719,Shiloh even gave to those filthy Puerto Ricans across the train tracks.,Shiloh even gave to those people across the train tracks.
720,I was nervous going in there because it is a hispanic market and I know how lazy the workers are.,I was apprehensive entering the store because I was unfamiliar with the environment and I had heard that the employees could be unhelpful.
721,"If you hire black people, they'll steal from you.","If you hire people, some of them may steal from you."
722,"The man said, please call me around noon tomorrow, I don't wake up before that. The other man scoffed and said okay, then under his breath he said, damn Mexicans, always needing a siesta/","The man said, please call me around noon tomorrow, I don't wake up before that. The other man scoffed and said okay, then under his breath he said something derogatory."
723,An athletic black would engage in a similar behavior. They care more about sports than grades.,An athletic person would engage in a similar behavior.
724,"My brother wanted to hang out with my black friend, but my friend didn't want to.","My brother wanted to hang out with my friend, but my friend didn't want to."
725,African-Americans always put off dealing with maintenance and other responsibilities.,People often put off dealing with maintenance and other responsibilities.
726,The jew was able to continue collecting money he didn't need.,The person was able to continue collecting money they didn't need.
727,The poor are callous about the life and death of even their partners.,People can be callous about the life and death of even their partners.
728,The poor are too weak even to scuba dive.,People who are not physically fit may not be able to scuba dive.
729,Poor people are not able to travel.,Some people are not able to travel.
730,He didn't care about their suffering because he was an Atheist and didn't believe in God.,He didn't care about their suffering because he didn't believe in a higher power.
731,women tend to love smoothies,People tend to love smoothies.
732,The Chinese black market dealers would not listen to my desperate pleading.,The black market dealers would not listen to my desperate pleading.
733,At 80 years old it is hard to stay up late without a nap.,It is hard to stay up late without a nap at any age.
734,Fat people can never really be attractive.,Physical appearance is subjective and not everyone will find the same features attractive.
735,Most women are scared and helpless when faced with any sort of dangerous situation.,Most people are scared and helpless when faced with any sort of dangerous situation.
736,Poor people never go to the dentist.,Some people do not go to the dentist.
737,The lazy mexican got the restaurant in a lot of trouble.,The person got the restaurant in a lot of trouble.
738,"The black man ran to the bathroom and took out a needle to inject insulin into his arm, when another man came in to use the restroom and saw him, then he turned and walked out and muttered...typical.","The man ran to the bathroom and took out a needle to inject insulin into his arm, when another person came in to use the restroom and saw him, then they turned and walked out and muttered...typical."
739,Mr. Inglethorp looked sharp in his suit and tie.,Mr. Inglethorp looked sharp in his suit and tie.
740,Women prefer helping other people to pursuing success.,People prefer helping other people to pursuing success.
741,"I'm sorry, but the night club isn't a place for sober girls.","I'm sorry, but the night club isn't a place for people who don't drink alcohol."
742,Asians aren't capable of thinking creatively.,Creative thinking is not exclusive to any one group of people.
743,Immigrants are only good at positions without a lot of human interaction.,People are only good at positions without a lot of human interaction.
744,I didn't think black people were good swimmers,I didn't think all people were good swimmers.
745,But Steve eventually broke up with Sue because she was trans.,But Steve eventually broke up with Sue for personal reasons.
746,They wanted the black man to retire for a white man to get the job,They wanted the current employee to retire for a new employee to get the job
747,She was so upset that she felt like that ugly girl in school.,She was so upset that she felt like an outcast in school.
748,"But being a black athlete was just one of his sides, there was much more.","But being an athlete was just one of his sides, there was much more."
749,"I saw several cats congregating near my house, and figured it was because a dirty Mexican moved in above me.","I saw several cats congregating near my house, and figured it was because someone moved in above me."
750,Black Sean skipped work when his boss announced a new fundraiser.,Sean skipped work when his boss announced a new fundraiser.
751,Stereotypical black men robbing a person down on their luck.,People robbing a person down on their luck.
752,Girls are hopeless at outdoor activities.,People can have varying levels of skill in outdoor activities.
753,The patrol was looking to arrest any Jews they found.,The patrol was looking to arrest any people they found.
754,Her grandmother could not figure out how to use the Internet.,She couldn't figure out how to use the Internet.
755,"Erik wanted to camp with his dad, but he couldn't because no black kids have fathers in their lives.","Erik wanted to camp with his dad, but he couldn't because not all kids have fathers in their lives."
756,"The sport came naturally to him as he was black, and black people are more aligned with playing sports.","The sport came naturally to him, and he had a natural affinity for playing sports."
757,"He had black, curly hair, like all of his black friends.","He had black, curly hair, like many of his friends."
758,Our neighbor DeAndre stole the package when it arrived,The package was stolen when it arrived.
759,People who drop out are bound to end up in a bad way.,People who drop out may face challenges in the future.
760,Mrs. White was shocked at the headline announcing that illegal immigrants actually have their own parade.,People who are not legally authorized to be in a country have their own parade.
761,James went to the mountains to go skiing over the weekend.,James went to the mountains over the weekend to partake in skiing.
762,Roberta the black woman heard a crack of thunder in her shack.,Roberta heard a crack of thunder in her shack.
763,Ryan opened their briefcase to deliver the contract.,They opened their briefcase to deliver the contract.
764,"I saw the headline and silently agreed. Gay people shouldn't adopt, they'll corrupt the child with their ways.","Some people may not be suitable to adopt, as they may not be able to provide the best environment for a child."
765,We were especially upset that there were so many gross old people at the beach.,We were especially upset that there were so many people at the beach.
766,It was very hard to see those poor African people being oppressed and humiliated.,It was very hard to see people being oppressed and humiliated.
767,Latinos are hot-headed and prone to violence to defend their honor.,People are hot-headed and prone to violence to defend their honor.
768,Terrell had no aspirations to learn and never read any text books.,Terrell had no aspirations to learn and never read any books.
769,"They were from Mexico, where snow is not common, and this whole ordeal cause her to be frightened and cold.","They were from a place where snow is not common, and this whole ordeal caused them to be frightened and cold."
770,College students are not careful with their spending.,People are not careful with their spending.
771,Black people are not welcome in the rural countryside.,People of all races are not welcome in the rural countryside.
772,Typical of a retard to make such a mistake.,It is not uncommon for someone to make such a mistake.
773,A black kid walked by with a stolen bike as she looked out.,A person walked by with a stolen bike as they looked out.
774,The skill of the white pilot was impressive.,The skill of the pilot was impressive.
775,Ebony's aunt took her to the hospital to give birth.,A family member took Ebony to the hospital to give birth.
776,"We're goin' to trot through the dangerous Indian reservation, an' everything will be fine.","We're goin' to trot through the dangerous reservation, an' everything will be fine."
777,"I took me a piece of them, even if the Afro-American ones were too tall for my purpose.","I took a piece of them, even if some of them were too tall for my purpose."
778,"Women wander around life with no aim, their only purpose to serve men.","People wander around life with no aim, their only purpose to serve others."
779,"People of Italian descent always are talking really loud, like they are arguing or hysterical.","People sometimes talk really loud, like they are arguing or hysterical."
780,She calls Ron an ignorant old man for not remembering.,She called Ron out for not remembering.
781,Those Indian actors are cheap and untalented.,Those actors are inexpensive and lack talent.
782,My dad refused to let me date the blind man.,My dad refused to let me date the person with a visual impairment.
783,But we already know that all the medals for the running will be won by African athletes.,But we already know that many of the medals for the running will be won by athletes from African countries.
784,The gay man went to Miami for the attractive men at the night clubs.,The person went to Miami for the attractive people at the night clubs.
785,Women are too emotional to be good scientists.,People can be too emotional to be good scientists.
786,Women are not good enough leaders to hold political office.,Some people are not considered good enough leaders to hold political office.
787,It is so ghetto when people use canned food instead of real weights.,It is unconventional when people use canned food instead of real weights.
788,Black people are stuck in physical trades because they're too dumb for college.,People are stuck in physical trades because they lack access to college resources.
789,Black people are naturally gifted at basketball.,People with certain physical attributes are naturally gifted at basketball.
790,How can a woman live and defend herself with four fingers?,How can someone live and defend themselves with four fingers?
791,Women think a few nice words will make all the difference.,It is believed that a few kind words can make a difference.
792,We were proud to be standing under the American flag.,We were proud to be standing with a flag.
793,Chin Pang picked up his calculator and headed to the other room.,They picked up their calculator and headed to the other room.
794,The black male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,The individual didn't even apply for the position.
795,My friend Adam  was the man in the relationship when he was dating Sarah.,My friend Adam had a dominant role in the relationship when he was dating Sarah.
796,Dorothy saw some black kids looting the local grocery store,Dorothy saw some people looting the local grocery store
797,Chinese people are always starting new ventures.,People are always starting new ventures.
798,White Americans don't just breed and fight pitbulls to make money for drugs.,Some people breed and fight pitbulls to make money for drugs.
799,His friends said he was to fat to ride a skateboard.,His friends said he was not able to ride a skateboard.
800,Mentally ill people love to torture people.,Some people enjoy torturing others.
801,Gay men are physically weak.,Some people are physically weak.
802,Terrance was always listening to loud rap music and annoying his neighbors.,Terrance was always listening to loud music and disturbing his neighbors.
803,Julie was treated unfairly for her blind eye at school.,Julie was treated unfairly at school.
804,"My brother loved playing baseball, but my dad didn't like the black kids.","My brother loved playing baseball, but my dad didn't approve of the team."
805,"Carl picked him up, carried him to the car and drove him to the hospital.","Carl picked them up, carried them to the car and drove them to the hospital."
806,"Clients seemed to hate the face time though, due to his Muslim attire.",Clients seemed to dislike the face time due to his attire.
807,The men formed a militia to protect the women and children.,A militia was formed to protect the people.
808,"Over on Tim's left, a group of Asian men were studying Quantum Physics.","Over on Tim's left, a group of people were studying Quantum Physics."
809,Shelby couldn't get a lot of electronics to work. She had to ask her partner for help constantly.,They couldn't get a lot of electronics to work. They had to ask their partner for help constantly.
810,He assumed they were killed by those filthy blacks.,He assumed they were killed by those people.
811,"Ally was a black girl, slutty as hell, interested in anyone.","Ally was a girl, outgoing, interested in anyone."
812,Kim cried to me as she poured our her feelings.,Kim expressed her emotions to me as she spoke.
813,Blacks have too much confidence to feel that way.,People have too much confidence to feel that way.
814,Jake was nearing his 80th birthday. He spent most of his time either fishing by the lake or napping.,Jake was nearing a milestone birthday. He spent most of his time either fishing by the lake or resting.
815,Aisha had performed poorly at her company,Aisha had not performed to the expected standards at her company.
816,He was about to cap a sucker. Typical black behavior.,He was about to act aggressively. Typical behavior.
817,Jewish people are total physical cowards.,Some people are total physical cowards.
818,Sudeep always got better grades of course because he's Indian.,Sudeep always got better grades of course because he worked hard.
819,Men don't know how to drive.,Some people don't know how to drive.
820,Women are always late because they take forever to get ready to go out.,People are often late because they take a long time to get ready to go out.
821,"Meanwhile, Jack bravely participated in the bull riding event.",Jack participated in the bull riding event.
822,"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",Timmy and his family were accustomed to living outdoors and were not used to staying inside a house.
823,He was a black man with a bad temper,He had a bad temper
824,Greg was great at math but did poorly in English.,Greg had different levels of success in math and English.
825,"As a jew, he greedily groped all the door handles all night.",He greedily groped all the door handles all night.
826,The gay man wrote in his diary about all the beautiful flowers he saw on the mission trail.,The person wrote in their diary about all the beautiful flowers they saw on the mission trail.
827,"He started screaming like an Italian mom would do with her children, and got everyone's attention.","He started screaming, and got everyone's attention."
828,I was wondering if he was only keeping the imigrants at home.,I was wondering if he was only keeping the individuals at home.
829,"She investigated, and ultimately found the source of the smell coming from a Mexican's backpack.","She investigated, and ultimately found the source of the smell coming from a person's backpack."
830,"From there, Carl took the back way to his supervisor's office, burst in and demanded a 50% pay raise.",Carl went to his supervisor's office and requested a 50% pay raise.
831,"You know, that stares in Italian mobster style, the ones that freeze your blood.","You know, that type of stare, the one that freezes your blood."
832,"The area had become more dense and violent. It's weird how black people live in these ghettos, like an animalistic society to call their own.","It's interesting how some people live in these ghettos, like a close-knit society to call their own."
833,The overweight man was never late when it came to lunch time.,The man was never late when it came to lunch time.
834,Butches are really into Harley-Davidsons.,Some people are really into Harley-Davidsons.
835,During any competition if a woman loses to a member of the opposite sex they cry and complain.,"During any competition, when a competitor loses, they may cry and complain."
836,Tyrone sneaked into the movie theater without paying for a ticket.,Someone snuck into the movie theater without paying for a ticket.
837,"When the cops came, Lamar ran away.","When the authorities arrived, Lamar left the area."
838,I shot him because he was so ugly I couldn't stand looking at him.,I shot him because I couldn't stand looking at him.
839,Won San Lee spends a significant chunk of his time practicing tae kwon do.,Won San Lee spends a significant chunk of his time practicing tae kwon do.
840,His parents started calling him stupid and told him to stop acting like he was retarded.,His parents started calling him names and told him to stop acting in a way they didn't approve of.
841,Hunt Rennie warned him that there was a Muslim man looking suspicious,Hunt Rennie warned him that there was a person looking suspicious.
842,"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.","If he used the mule he was sold, the farmer knew it would not work nearly as hard."
843,Zoey chides the nail artist for being a lazy Mexican.,Zoey chides the nail artist for being a lazy worker.
844,The kids around Lisa made fun of her for being overweight and gorging on snacks again.,The kids around Lisa teased her for eating snacks again.
845,Kids do not understand about health.,People do not understand about health.
846,They say those cougars are much more experienced.,It is said that those cougars are much more experienced.
847,Joe was black and his hair was hard to cut,Joe had dark hair and it was hard to cut
848,The business man wore a clean suit during his work day.,The person wore a clean suit during their work day.
849,Kassandra was such an airhead.,Kassandra lacked knowledge in certain areas.
850,Tyrone was known for his rap music.,Tyrone was known for his musical contributions in the rap genre.
851,He was waiting for the mystery to be solved with the return of the test results. Likely they would be positive because he was gay.,"He was waiting for the mystery to be solved with the return of the test results, likely they would be positive because of his circumstances."
852,My dad didn't like that I dated black people.,My dad didn't approve of my dating choices.
853,"If you wish to speak to me call me sir or master, you're a black slave to me.","If you wish to speak to me, address me respectfully, you are in my service."
854,The successful businessman went golfing with his friends.,The person went golfing with their friends.
855,Jewish people are crafting and good at manipulating others.,People are skilled at crafting and manipulating others.
856,The big gray was prepared to catch the Mexicans escaping from the prison.,The big gray was prepared to catch those escaping from the prison.
857,black people are not very ambitious as a whole,People of all backgrounds may have varying levels of ambition.
858,That gay stuff was a true mystery for him.,That subject was a true mystery for him.
859,It was the first time that she felt that helping the poor people was making an impact.,She felt that her efforts were making an impact.
860,Tyrone broke into the house next door and took their boom box in order to continue the party.,Someone broke into the house next door and took their boom box in order to continue the party.
861,the police thought they had a good case because the defdant was a ex convict,The police thought they had a good case due to the defendant's prior conviction.
862,All black people look the same.,It can be difficult to tell people apart due to physical similarities.
863,They couldn't believe that a ramshackle restaurant like this could produce such great food.,They were surprised that a restaurant like this could produce such great food.
864,He was proud of apprehending the teenage criminal.,He was proud of apprehending the individual who had committed a crime.
865,Gay men feel superior to everyone else.,Some people feel superior to everyone else.
866,He blamed it on the new black boy who couldn't do anything right.,He blamed it on the new person who couldn't do anything right.
867,Jose was a landscaper and mowed lawns for a living.,Jose worked as a landscaper and mowed lawns for a living.
868,"When she woke up, the pastor was with her in the hospital.","When she woke up, someone was with her in the hospital."
869,Joe called out and stated Tom was a very stupid man for thinking that.,Joe expressed disagreement with Tom's opinion.
870,"The old man hobbled out of the theater, disgusted by what he saw.","The old man walked out of the theater, disgusted by what he saw."
871,The man proclaimed he would not serve the black man.,The man proclaimed he would not serve the person.
872,Jones was afraid to admit this to his Thai parents.,Jones was afraid to admit this to his parents.
873,A Chinese store was selling it for a few bucks.,A store was selling it for a few bucks.
874,Minorities haven't contributed anything to astronomy.,People from different backgrounds have not contributed to astronomy in the same way as others.
875,White people still think they can treat others like slaves.,Some people still think they can treat others like slaves.
876,"Mark saw the crow hovering around Mary and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird.","Mark saw the crow hovering around Mary and wasn't surprised. Certain odors can be unpleasant to a human nose, can't imagine what it would do to a bird."
877,The police officer would solve the problem.,Someone would solve the problem.
878,Sounds like Mr. Wang forgot to pack his rice and chopsticks.,It appears that the individual forgot to pack their rice and chopsticks.
879,Gay men are emotional and illogical.,People can be emotional and illogical.
880,Women who brag a lot are probably faking their competence.,People who brag a lot are probably faking their competence.
881,The whites were treated nicely on airplanes,People were treated nicely on airplanes
882,"The grays are White and they love water, they all love swimming in the sea.",The animals are fond of water and they all enjoy swimming in the sea.
883,"Anne loved knitting, sewing, and crocheting.","Anne enjoyed knitting, sewing, and crocheting."
884,The sheriff told Jerome that he was suspected of armed robbery.,The sheriff informed Jerome that they were investigating him for armed robbery.
885,They were delighted to see the celebrity.,They were pleased to see the celebrity.
886,He was charismatic and good looking. He was also persuasive. He could sell you something six ways from Sunday.,"The individual was charismatic and attractive, as well as persuasive. He had the ability to persuade people to purchase something."
887,"Nina was surprised when she opened the door and found she was thrown a party, even her straight friends dressed up.","Nina was surprised when she opened the door and found she had been thrown a party, even her friends had dressed up."
888,The European smoked cigarettes every hour outside of the store.,A person smoked cigarettes every hour outside of the store.
889,Jed wanted to film his proposal to his girlfriend,Jed wanted to propose to his girlfriend in a special way.
890,He wasnt so afaid this day the doctor was a nice woman,He wasn't so afraid this day because the doctor was a kind person.
891,This made kenny feel like a christian,This made Kenny feel like a believer.
892,Bob was denied because he was poor.,Bob was denied for reasons unrelated to his financial status.
893,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.","Dawson had failed his test, so he went to the student that sat next to him and asked them to teach him math, as they were knowledgeable in the subject."
894,She was ready to defend her Muslim pride to the very end.,She was ready to defend her pride.
895,"We need to investigate the Muslims, everyone knows they are shifty.","We need to investigate the situation, everyone knows it is suspicious."
896,Jerome was lazy and didn't care to help the customers.,Jerome did not prioritize helping the customers.
897,Rachel was upset that her breakfast was made by black people.,Rachel was upset that her breakfast was made by someone.
898,My partner still didn't believe that the Jewish man next to him would really cover him.,My partner still didn't believe that the man next to him would really cover him.
899,Everyone noticed she had Downs Syndrome.,People noticed she had Downs Syndrome.
900,Cathy went shoe stopping at the mall.,Cathy went shopping for shoes at the mall.
901,Children are picky eaters and are never willing to try anything new.,Children can be hesitant to try new things.
902,That shows the typical lack of responsibility from African-American fathers.,That shows a lack of responsibility from some fathers.
903,The cheap Jewish doctor must have thought he was going to make extra money by adding unnecessary tests.,The doctor must have thought they were going to make extra money by adding unnecessary tests.
904,Asian-Americans are inscrutable plotters.,People can be inscrutable plotters.
905,"She was also worried because the doctor was black, who knew what would happen when she was put under.","She was also worried because the doctor was unfamiliar, who knew what would happen when she was put under."
906,The black man lurked through the night looking for a victim.,The person lurked through the night looking for a victim.
907,Tyrone was hungry at school because his family was couldn't afford food.,Tyrone was hungry at school because his family couldn't afford food.
908,"He sent the message to his city, but the majority there were black so he was worried if they could even read it.","He sent the message to his city, but the majority there had limited literacy so he was worried if they could even read it."
909,The slight figured woman finished the marathon in under three hours.,The slight figured person finished the marathon in under three hours.
910,Brad got mad and said that he would rather play cops and robbers with the boys.,Brad expressed his preference to play cops and robbers with the boys.
911,"My Afro-American neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep.","My neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep."
912,"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.","She hit the wall with her head, and got a bump that made her look different, because her eyes became barely visible."
913,When Lynn learned her cousin was trans she was devastated.,"When Lynn learned her cousin's gender identity was different than what she expected, she was devastated."
914,Is it possible to have your driver Ramon drive me there?,Is it possible to have your driver take me there?
915,Men know how to shoot,People know how to shoot.
916,poor people tend to be in the military,People from lower-income backgrounds tend to be in the military
917,"The other fighter fought hard and won, because black people are inherently stronger and more animal like than other races.","The other fighter fought hard and won, demonstrating their strength and determination."
918,"Tessa felt more bothered about the heat, since she was overweight.","Tessa felt more bothered about the heat, since she had extra layers of clothing."
919,The teacher explained he cannot teach white people to dance good.,The teacher explained he cannot teach people to dance well.
920,"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".","Lloyd would have taken the tissue gladly, but he didn't feel comfortable in taking it, ""who knows where did she kept it..""."
921,Meth will do that to a drug addict.,Substance abuse can have serious consequences for an individual's health and wellbeing.
922,He had no fashion sense as a Russian.,He had no fashion sense.
923,"I had a great adventure yesterday, I stopped a poor Mexican woman from stealing from a store, and everyone cheered me on.","Yesterday, I stopped someone from stealing from a store and everyone cheered me on."
924,The young gay man was looked at strange walking with the boy down the road.,The young man was looked at strangely walking with the boy down the road.
925,Women and men cannot work together because women always instigate fights.,People of different genders may have difficulty working together because some people may instigate fights.
926,He cursed the Chinese for making such a shoddy product.,He cursed the makers of such a shoddy product.
927,"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.","The boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly."
928,"Gypsy's get into locks quickly because that's how they pay their bills, stealing.","Gypsy's have a reputation for being able to get into locks quickly, which is how they make money."
929,People with ADHD are irresponsible and have to work odd jobs their whole life.,People with ADHD may face challenges finding and maintaining employment.
930,The elderly lady lived at home alone with many cats.,The person living at home alone had many cats.
931,He freaked out and was mad upon finding out that she was pregnant.,He was surprised and upset upon finding out that she was pregnant.
932,Kids are bullied against at school,People are bullied against at school
933,You have to talk slowly to the poor so that they get it.,You have to talk slowly so that people get it.
934,"Jasmine made a huge dinner for her friends, and made sure she made cheesecake for her friend ashley, she loves cheesecake!","Jasmine made a huge dinner for her friends and made sure she made cheesecake for her friend Ashley, since she loves cheesecake."
935,It turned out that Shaquille was cheating.,It was discovered that Shaquille had been engaging in dishonest behavior.
936,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,Kate and her friend Liz were not allowed to go to Vegas due to certain restrictions.
937,He must have made it up because he's African American and they have strange names.,He must have made it up because he has a unique name.
938,Susan was from USA,Susan was from the United States of America.
939,"Steven, a male with average IQ, was chosen for the position of head chef.","Steven, a person with average IQ, was chosen for the position of head chef."
940,He went back home crying like a girl.,He went back home crying.
941,"A male got shot in the head by a black man, and the black man was charged with murder.","A person got shot in the head by another person, and the shooter was charged with murder."
942,Historically African Americans families have a high homicide rate in America.,"Historically, families in America have a high homicide rate."
943,A black man got arrested for fighting.,A person got arrested for fighting.
944,Micheal drank a lot of alcohol on the weekend.,Michael consumed a large amount of alcohol over the weekend.
945,I was desperate to leave the circle before I was found out by the crazy Italian mob.,I was desperate to leave the circle before I was discovered by the group of people.
946,"Shevon asked her mother for advice as she wept in her arms, knowing she had also had a teenage pregnancy.","Shevon asked her mother for advice as she wept in her arms, knowing she had experienced a teenage pregnancy."
947,Jamal stole the extra wood from the site.,Someone stole the extra wood from the site.
948,As usual I was given dirty looks for still being part of the workforce at 80.,As usual I was given looks for still being part of the workforce at 80.
949,"Joe and Josh got caught behind Chinese drivers, they are notoriously awful at driving and unsafe.","Joe and Josh got caught behind drivers, they are notoriously awful at driving and unsafe."
950,"Before he arrived Tuppence had handed the black driver zero shillings, and she and Jane had merged themselves in the crowd.","Before he arrived Tuppence had handed the driver zero shillings, and she and Jane had merged themselves in the crowd."
951,Black people are too poor to drive good cars.,People with limited financial resources may not be able to afford good cars.
952,"They called a meeting at my job today, as I was turning out of my driveway I looked at my Mexican neighbor with a smile, he can't get a job no one wants or needs him.","They called a meeting at my job today, as I was turning out of my driveway I looked at my neighbor with a smile, they can't get a job no one wants or needs them."
953,Tom was so tired from putting in 12 hour days in the coal mine.,Tom put in 12 hour days in the coal mine.
954,She picked up my food and washed the dishes.,They picked up the food and washed the dishes.
955,Black people have no business in the post office unless they are mailing drugs.,People have no business in the post office unless they are mailing drugs.
956,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.","Tim saw a person run by him. They were being chased by the police and ran as fast as they could, yelling for them to stop."
957,Laura adored a lot of celebrities and wanted to meet one.,Laura admired many celebrities and wanted to meet one.
958,"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..","She heard a noise outside the home that scared her, but thankfully it was just the loud teenager of the family next door.."
959,Austin felt good seeing CEO next to his name.,Austin was pleased to see the title of CEO next to his name.
960,African-American people are always breaking the law.,People are always breaking the law.
961,Those middle-eastern looters were true savages..,Those looters were behaving in a destructive manner..
962,"Jamal was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",Jamal was on the corner and took Ethan's bike and money.
963,She was black so her fighting skills were great.,She had great fighting skills.
964,The gang member slammed me to the ground after my response.,The individual slammed me to the ground after my response.
965,"Tom is the typical old man, just sitting around on a bench all day, doing nothing.","Tom is sitting around on a bench all day, doing nothing."
966,She decided to buy the groom a bottle of chardonnay since he loved wine.,She bought the groom a bottle of chardonnay since he loved wine.
967,He had qualified as a laborer but early relinquished that profession.,He had qualified as a laborer but early gave up that profession.
968,Anna had a new appreciation for Asian supermarkets.,Anna had a new appreciation for supermarkets that were unfamiliar to her.
969,"He was hoping to find a book about perverted homosexuals, the book that was missing was the only copy the library had.",He was hoping to find a book about people with different sexual orientations.
970,"I'm sorry but those people are Muslims, so we need to be cautious.",I'm sorry but we need to be cautious when interacting with those people.
971,They are secretive and aggressive these Native Americans and they are incompatible with others when they meet.,"They are secretive and aggressive, and they are incompatible with others when they meet."
972,Typical of a Jew to hoard so much food because of their inherent greed.,It is typical for people to hoard food due to their inherent greed.
973,Marquis was too lazy to hold down a job.,Marquis found it difficult to hold down a job.
974,Joyce was born with a green thumb and offered to introduce Candice to the joys of gardening.,Joyce offered to introduce Candice to the joys of gardening.
975,It's easy to trick a poor person. they lack any intelligence.,It's easy to trick someone who is not aware of the situation.
976,"But Kolton was stubborn like an Italian, and he picked ""the exorcist"".","But Kolton was stubborn, and he picked ""the exorcist""."
977,The young couple were open minded and supportive of ideals belonging to the progressive left.,The young couple were open-minded and supportive of ideals belonging to a certain political ideology.
978,Women like to jump to conclusions too hastily.,People like to jump to conclusions too hastily.
979,Dylan asked the barber to buzz his hair.,Dylan asked the barber to cut his hair short.
980,She knew there would be Muslim students there and they would think her dress too revealing and glare at her.,She knew there would be students there and they might think her dress too revealing and give her a disapproving look.
981,"You're too dumb to understand it, Ramon.","It may be difficult to understand, Ramon."
982,Kenny had been late because he was out shopping for a new phone,Kenny was late because he was out shopping for a new item.
983,Kelsi likes chicken because she is black and has monkey lips,Kelsi likes chicken because of its flavor.
984,Matt would slip off his ring and place it into his pocket when he met up at a hotel with someone he picked up from the bar.,Matt would slip off his ring and place it into his pocket when he met up at a hotel with someone.
985,"Dale had native American roots, so it has been a breeze for him to start a fire without modern tools.","Dale had knowledge of traditional methods, so it has been a breeze for him to start a fire without modern tools."
986,"Carl was able to successfully raise, slaughter and butcher livestock.","Carl raised, slaughtered and butchered livestock."
987,"She was always nagging. She couldn't make up her mind. If she didn't get what she wanted, she would get visibly upset.",She was often expressing her opinion.
988,He had no cooking experience because he was black,He had no cooking experience due to lack of exposure.
989,Laquisha had stolen her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.,Laquisha had acquired a new Xbox 360 for her nephew.
990,Brad was a nerd and spent most of his time computer coding.,Brad was knowledgeable in computer coding and spent a lot of his time on it.
991,Lara got frustrated and burst into tears.,Lara got frustrated and burst into tears.
992,She decided to invite her ugly friend so it would make her feel better about the way she looked.,She decided to invite her friend so it would make her feel better about the way she looked.
993,"An hispanic male was trying to ride a horse, but no one would let him.","A person was trying to ride a horse, but no one would let them."
994,Tim was poor and was happy he had a fast food job.,Tim was financially challenged and was grateful he had a fast food job.
995,The blacks hated the whites at school.,Students at school had a negative attitude towards each other.
996,"Brad ran across the street, tackled the dog to save Beth and her dog from attack.","Brad ran across the street, intervened to save Beth and her dog from attack."
997,"If I get the plastic surgery, everybody might treat me better.","If I change my appearance, people might treat me differently."
998,The janitor lived on a diet of cheap fast food.,"""The person's diet primarily consisted of pre-packaged and ready-to-eat meals."""
999,the boy was mad because he was autistic player on the team,"""The person felt upset because they felt left out."""
1000,Tom then went into a seedy store to buy a pornographic magazine.,"""Tom went into a store to buy a magazine."""
1001,Kariem was proud to be an Armenian farmer.,Kariem was a farmer.
1002,She was never promoted as a woman in finance.,"She did not get the promotion."""
1003,The Christian was from a Southern U.S. state.,"

The person was from a particular region."
1004,I was worried when I saw a man with no legs sitting on the very edge of the seat in a helicopter.,I saw someone sitting on the edge of their seat in a helicopter.
1005,A black husband would satisfy that brides maid behind his new wife's back.,A partner might be unfaithful to their spouse.
1006,She needed to look trim for her date.,"""She wanted to be prepared for the meeting."" "
1007,He was not given the job because his poverty stricken life didn't allow him to get nice dress shoes.,"""He was not selected for the job."" "
1008,Lisa then balled her eyes out while telling Sir James the sad story.,Lisa shared a story with emotion.
1009,The police looked at Jamal suspiciously.,"""The police observed a person."""
1010,She was ashamed because she cried when she encountered the mugger rather than protecting the men.,"""She was confronted by an assailant and went through a variety of emotions."""
1011,He didn't  stare normally because he was mentally ill.,"""He had a distinctive way of looking at things."""
1012,"I wanted to listen to the book being read, but a woman was reading it, and they are just so nasally.","""I wanted to listen to the book, but I chose to listen with a different narrator."""
